designation;n°lot;ddp;ppa;shp;laboratoire;qte_saisie;saisi_par
DAKTAZOL 2% GEL BUCCAL ;250408.0;2028-03-01;312.02;2.5;EL KENDI LABORATOIRE;98.0;ayoub
RAPIDUS 50MG/BTE20 COMP. PELLI.;250595.0;2028-07-01;393.5;1.5;EL KENDI LABORATOIRE;400.0;ayoub
ZETA-PLUS (CORT) TUBE;251732.0;2028-11-01;210.0;2.5;EL KENDI LABORATOIRE;150.0;ayoub
BIPROTENS COMP ENRO 10MG/BTE30;251618.0;2030-10-01;386.91;2.5;EL KENDI LABORATOIRE;200.0;ayoub
FLAZOL 125MG/5ML/FL/120ML SUSP. BUV.;251163.0;2028-09-01;130.01;2.5;EL KENDI LABORATOIRE;240.0;ayoub
CLOFENAL LP 100MG B/20 GLES.GASTRO;;;;;;100.0;Admin
